Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
13,716,22.25965691,864.6287842,80.01157241,43.42201279,0.776114047
14,475,21.28694628,864.3353882,85.60687619,54.43272765,0.760465086
15,335,20.37958338,864.5615234,90.8515408,66.73408657,0.68209374
16,96,19.4139887,865.0875854,98.74281023,79.68526907,0.531541884
17,0,18.63218602,865.5505981,100,92.95101585,0.370829493
18,0,18.64818254,866.1846924,100,106.3123318,0.192868665
19,0,18.6565941,866.5976563,100,119.5708929,0.099032111
20,0,18.17909754,866.8936768,100,132.4445215,0.324232459
21,0,17.81858487,866.625,100,144.3552272,0.560312808
22,0,17.21660872,866.3580933,100,153.821894,0.738776267
23,0,16.57017532,866.0481567,98.00550612,157.4359502,0.892769456
0,0,16.04378338,865.906311,93.28163802,152.7422424,0.979853749
1,0,15.61450235,865.7615967,88.42928532,142.7784166,1.014786363
2,0,15.19215454,865.5863647,84.57035182,130.6789645,1.0125525
3,0,14.76737824,865.5863037,81.74484736,117.7341717,0.987365186
4,0,14.46025834,865.8305054,79.1581984,104.4582221,0.911072254
5,0,15.04316524,866.2106934,78.84505657,91.11430907,0.773641229
6,151,19.09791882,866.9398193,78.1829587,77.90016164,0.551805496
7,376,20.25176554,867.3970947,63.81663116,65.04768525,0.126123413
8,586,23.39593292,867.7540283,48.30371222,52.92653212,0.308134258
9,750,24.63805743,867.6398926,44.38231473,42.2522301,0.587907374
10,852,25.06418123,867.1846924,47.05132825,34.45684364,0.725637019
11,880,24.92081342,866.3214111,51.43378767,31.77062227,0.77407074
12,835,23.68518179,865.5813599,60.52911193,35.38587485,0.803764224
13,703,22.06574186,865.3443604,71.98617867,43.75952193,0.796943724
14,545,20.70545872,865.355835,81.73511039,54.72972227,0.704728425
15,329,19.74670161,865.6248169,88.45716966,67.00235442,0.518251002
16,72,18.74280596,866.0703125,95.43748953,79.93560326,0.308353096
17,0,17.84123941,866.5941162,100,93.19251928,0.1747576
18,0,17.37856838,867.3552246,100,106.5535047,0.465358436
19,0,16.97429945,867.9199829,100,119.821368,0.675073147
20,0,16.49689056,868.197876,99.29916267,132.717332,0.778984308
21,0,16.00430785,868.2497559,96.8559369,144.6693643,0.8181445
22,0,15.54905548,867.7425537,93.755102,154.1945676,0.822631121
23,0,15.05614088,867.3662109,90.39140828,157.8170297,0.814089537
0,0,14.648264,866.6252441,87.49595183,153.0248761,0.804802597
1,0,14.33593967,866.1572266,84.55204048,142.9701865,0.789888859
2,0,13.9868233,865.9777832,82.62095333,130.8198321,0.750022113
3,0,13.65497967,865.9608154,81.16959334,117.8498771,0.68868202
4,0,13.39541756,866.2383423,79.82421435,104.5645803,0.537855804
5,0,14.30316335,866.668335,80.98497546,91.22282392,0.317933112
6,86,18.54613103,867.4277954,89.96758771,78.02137486,0.224646315
7,251,21.48993507,868.234375,62.74104705,65.193689,0.460949033
8,377,21.85720395,868.3861694,55.7258069,53.11333917,0.678179383
9,249,22.8252393,868.0632324,55.94075215,42.50107821,0.813821673
10,507,23.24260625,867.5031738,58.26155809,34.78538089,0.855712533
11,534,22.93603926,866.5296021,63.48551522,32.15734045,0.822609127
12,786,22.15144068,865.4241943,70.64859081,35.76518712,0.801380754
13,325,21.38985919,864.635376,75.62440925,44.09597075,0.782409906
14,117,20.58234535,864.5450439,80.0928936,55.02566071,0.753461778
15,313,19.53465862,864.9428711,85.72718549,67.26934186,0.682719111
16,92,18.04933288,865.5804443,95.5722657,80.18432795,0.569399357
17,0,16.95005549,866.5778809,100,93.43203484,0.481750727
18,0,17.15149345,867.7058105,100,106.7922806,0.492591739
19,0,17.10390141,868.5737305,100,120.0690204,0.43201068
20,0,16.85990086,869.0081787,100,132.9869416,0.488509029
21,0,16.7052254,868.8703003,100,144.9802439,0.533581972
22,0,16.46272439,868.3880005,100,154.5650138,0.536444604
23,0,16.15619398,867.8313599,100,158.1968207,0.589202106
0,0,15.79189132,867.284729,100,153.3050311,0.655014813
1,0,15.33495656,866.894043,100,143.1598713,0.721965134
2,0,14.74556338,866.3982544,100,130.9595611,0.829591691
3,0,14.24536348,866.3878174,97.33249043,117.9652828,0.963611364
4,0,14.00567198,866.8034668,93.43322431,104.6713266,1.026914835
5,0,14.3537979,867.1762085,90.31015697,91.33230748,1.065090179
6,143,16.73122047,867.9543457,86.29034491,78.14406029,1.012321472
7,360,18.43370255,868.6413574,84.36977297,65.34159383,0.933366835
8,567,20.08089462,868.9934082,76.09246244,53.30232013,1.212307453
9,727,21.14179108,868.9467773,71.754421,42.75191256,1.325838447
10,822,21.32834966,868.260437,73.04892982,35.11469476,1.373818159
11,855,21.05456491,867.1577148,76.70491182,32.5430467,1.366666436
12,630,20.58323358,866.0999756,79.53605248,36.1430483,1.320160747
13,621,20.02216524,865.3088989,81.78611763,44.43121538,1.253813028
14,156,19.35950268,865.0159302,85.1782489,55.32039914,1.149417043
15,199,18.50064667,865.27771,89.40348076,67.53491036,1.005694389
16,22,17.23130121,865.7194824,98.79615468,80.43130987,0.728384554
17,0,16.43799707,866.4846191,100,93.66943377,0.724662483
18,0,16.34873526,867.4852905,100,107.0285296,0.75377214
19,0,16.15815755,868.0425415,100,120.3137145,0.791929126
20,0,15.8757391,868.1959229,100,133.2531997,0.857020259
21,0,15.48327103,867.8141479,100,145.2876915,0.900108039
22,0,15.02952067,867.4140625,100,154.9330649,0.921628356
23,0,14.56068705,866.9221191,98.25567102,158.5752284,1.000277519
0,0,14.20257579,866.3405762,94.83255725,153.582646,1.078030705
1,0,13.94806798,865.8789063,91.94764592,143.3474746,1.096188545
2,0,13.85482031,865.5830078,89.24208668,131.0981821,1.140600562
3,0,14.02842606,865.6057739,86.76257628,118.0804259,1.181467414
4,0,14.51070751,865.9041138,84.85789261,104.7784951,1.210593939
5,0,15.01154802,866.2418823,83.14969875,91.44278555,1.233196139
6,82,16.33567721,866.7648315,79.19702975,78.26823695,1.226535916
7,239,18.11040439,867.2484131,75.90756051,65.49139744,1.134336591
8,343,19.93763278,867.2902832,73.69561763,53.49343341,0.943947017
9,415,21.7017244,866.6342773,62.28150569,43.0046444,1.117255688
10,383,23.34741066,865.4509888,54.79255853,35.44466136,1.235076785
11,265,23.4180025,864.0357056,57.09866083,32.92762684,1.287372112
12,479,22.74346484,862.8874512,63.21119817,36.51933315,1.287294984
13,335,21.47044496,862.1505127,71.79145769,44.76511553,1.239993095
14,213,20.15434723,861.7730103,79.32415698,55.61379921,1.154887319
15,71,18.77761617,861.9006958,86.5996385,67.79892848,0.960686862
16,24,17.24842257,862.3535156,95.14525686,80.6764248,0.636633575
17,0,16.3446556,862.9836426,100,93.90458826,0.329354912
18,0,15.9888314,863.1309814,100,107.2621233,0.381208807
19,0,15.52116387,863.211853,99.48388593,120.5553156,0.573494911
20,0,15.19889747,862.8219604,96.85074714,133.5159573,0.599447668
21,0,14.91397569,862.4755249,94.10345766,145.5915328,0.488517553
22,0,14.60217729,861.8214722,92.76749859,155.2985511,0.332549334
23,0,14.31074958,861.2900391,92.54184077,158.9521586,0.226687431
0,0,14.12332747,860.8678589,92.58638593,153.8576621,0.344630003
1,0,13.94502757,860.3998413,93.62834474,143.5330029,0.515274882
2,0,13.90414399,860.2062378,96.26861363,131.2357274,0.672287047
3,0,13.76526182,860.6417236,100,118.1953433,0.75523001
4,0,13.59000126,861.2212524,100,104.8861192,0.760685742
5,0,14.22531295,861.8578491,100,91.55428263,0.732344627
6,126,16.98714054,862.4705811,94.44672598,78.39391514,0.6585989
7,354,18.51153909,863.0858154,88.29367507,65.64308587,0.779141963
8,556,19.74399328,863.3078613,84.05218281,53.68663157,1.001143694
9,656,20.64572947,862.8765259,81.00928929,43.25917905,1.196069479
10,700,21.0971217,862.196228,79.18235152,35.77515137,1.323265553
11,448,20.81127324,861.0927734,80.77527435,33.31096175,1.424597383
12,415,20.50114727,859.9866943,84.55377655,36.89391185,1.499028802
13,272,19.84605205,859.2179565,88.78898777,45.09752619,1.461362004
14,318,19.24244426,858.7038574,92.01430416,55.90571679,1.387086153
15,235,18.39690403,858.5923462,95.99873122,68.06125777,1.225558043
16,58,17.50066727,859.0291748,100,80.91953854,1.097370982
17,0,17.06123397,859.7614746,100,94.13737162,0.976252794
18,0,16.92804661,860.5001221,100,107.4929344,0.885747254
19,0,16.73768071,861.0622559,100,120.7936909,0.822623432
20,0,16.57802713,861.5974731,100,133.7750668,0.772973716
21,0,16.45017519,861.8754272,100,145.8915936,0.733654082
22,0,16.30304717,861.6569824,100,155.6613,0.705472052
23,0,16.14602636,861.2695313,100,159.3275179,0.697268307
0,0,16.04751705,860.8604736,100,154.1300238,0.685548246
1,0,15.95731963,860.3670044,100,143.7164657,0.680167437
2,0,15.85872801,859.8594971,100,131.3722307,0.707348764
3,0,15.82421556,860.017334,100,118.3100727,0.703980327
4,0,15.80087313,860.3880005,100,104.9942318,0.701105833
5,0,15.92006945,861.0695801,100,91.66682178,0.710018277
6,63,16.74622765,861.8374023,100,78.52109349,0.694364905
7,296,17.49144236,862.5639648,97.6342823,65.79663966,0.829207003
8,553,18.68050781,862.9437866,93.57943132,53.88186335,0.901868999
9,651,19.51008385,862.7109985,89.86445986,43.51542107,0.931277871
10,735,19.64954694,862.1244507,88.17095227,36.10603886,0.941129923
11,522,19.82933315,861.1849976,88.08544676,33.69293666,0.963524699
12,286,19.88763627,860.3293457,88.31243923,37.26665979,1.011160374
13,136,19.53571989,860.0684814,90.46816917,45.42830778,1.035672426
14,387,18.98045527,860.0010986,93.23177082,56.19601237,1.081429362
15,120,18.31182281,860.161438,97.32130086,68.32176334,0.914634824
16,20,17.62064911,860.7168579,100,81.16051668,0.798076868
17,0,17.25658606,861.739502,100,94.36765832,0.727283895
18,0,17.16928971,862.6921387,100,107.7208374,0.641840458
19,0,17.06506347,863.3382568,100,121.0287094,0.578996241
20,0,16.87033049,863.7819214,100,134.0303825,0.518153727
21,0,16.64594529,864.1125488,100,146.1877004,0.466967046
22,0,16.3777748,864.0131836,100,156.0211364,0.420576632
23,0,16.15296056,863.8392944,100,159.7012133,0.375468016
0,0,15.93776312,863.6802368,100,154.3996787,0.297798634
1,0,15.71653806,863.5784302,100,143.8978754,0.164608806
2,0,15.61083215,863.6798096,100,131.5077268,0.155987874
3,0,15.60199361,863.765625,100,118.4246516,0.414697021
4,0,15.65923431,864.1847534,100,105.102865,0.591163814
5,0,15.80286148,864.8092041,100,91.78042458,0.652039945
